Submit datetime, Solver type, Nodes type, #CPUs, Queue type, Input, #Threads, Sort, Real time
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 4, , 574.595
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 4, , inf
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 4, , 238.808
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 4, , 145.487
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 4, , 493.159
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 4, , 176.528
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 4, , 195.315
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 8, , 62.270
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 8, , 103.580
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 8, , 204.877
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 8, , 113.801
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 8, , 141.188
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 8, , 112.750
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 8, , 113.556
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 8, , 265.134
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 16, , 57.989
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 16, , 51.025
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 16, , 54.705
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 16, , 115.779
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 16, , 84.689
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 16, , 93.385
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 16, , 38.408
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 16, , 120.119
